"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:52:53,0822957","WTabletServicePro.exe","7416","CreateFile","C:\Program Files\Tablet\Wacom\WTabletServicePro.ilk","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:52:53,0826369","WTabletServicePro.exe","7416","CreateFile","C:\Program Files\Tablet\Wacom\WTabletServicePro.ilk","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:52:53,0830040","WTabletServicePro.exe","7416","CreateFile","C:\Program Files\Tablet\Wacom\WTabletServicePro.ilk","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:52:53,0833128","WTabletServicePro.exe","7416","CreateFile","C:\Program Files\Tablet\Wacom\WTabletServicePro.ilk","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:52:53,0835961","WTabletServicePro.exe","7416","CreateFile","C:\Program Files\Tablet\Wacom\WTabletServicePro.ilk","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:52:53,0838805","WTabletServicePro.exe","7416","CreateFile","C:\Program Files\Tablet\Wacom\WTabletServicePro.ilk","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:52:53,0841646","WTabletServicePro.exe","7416","CreateFile","C:\Program Files\Tablet\Wacom\WTabletServicePro.ilk","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:52:53,1005053","WTabletServicePro.exe","7416","QueryNameInformationFile","C:\Program Files\Tablet\Wacom\Wacom_TabletUser.exe","SUCCESS","Name: \Program Files\Tablet\Wacom\Wacom_TabletUser.exe"
"16:52:53,1006608","WTabletServicePro.exe","7416","QueryNameInformationFile","C:\Program Files\Tablet\Wacom\Wacom_UpdateUtil.exe","SUCCESS","Name: \Program Files\Tablet\Wacom\Wacom_UpdateUtil.exe"
"16:52:53,1007904","WTabletServicePro.exe","7416","QueryNameInformationFile","C:\Program Files\Tablet\Wacom\WacomHost.exe","SUCCESS","Name: \Program Files\Tablet\Wacom\WacomHost.exe"
"16:52:53,1009170","WTabletServicePro.exe","7416","QueryNameInformationFile","C:\Program Files\Tablet\Wacom\Wacom_Tablet.exe","SUCCESS","Name: \Program Files\Tablet\Wacom\Wacom_Tablet.exe"
"16:52:53,1010656","WTabletServicePro.exe","7416","QueryNameInformationFile","C:\Program Files\Tablet\Wacom\Wacom_TouchUser.exe","SUCCESS","Name: \Program Files\Tablet\Wacom\Wacom_TouchUser.exe"
